 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
1748.249    2.14301e-02    2.13926e-02    3.74930e-05
1753.050    2.10832e-02    2.10487e-02    3.45404e-05
1757.844    2.06400e-02    2.07471e-02   -1.07147e-04
1762.633    1.93219e-02    1.92589e-02    6.29631e-05
1767.416    1.85439e-02    1.83506e-02    1.93318e-04
1772.193    1.76235e-02    1.74468e-02    1.76716e-04
1776.965    1.49249e-02    1.47344e-02    1.90481e-04
1781.731    1.32490e-02    1.32699e-02   -2.09089e-05
1786.492    1.27410e-02    1.26318e-02    1.09246e-04
1791.247    1.02409e-02    1.03048e-02   -6.38650e-05
1795.997    6.94182e-03    6.97305e-03   -3.12307e-05
1800.742    3.91429e-03    3.96339e-03   -4.90954e-05
1805.481    2.55510e-03    2.60670e-03   -5.16039e-05
1810.216    1.28221e-03    1.28950e-03   -7.28657e-06
1814.946    5.12373e-04    5.13513e-04   -1.14033e-06
1819.671    1.98559e-04    1.98978e-04   -4.19038e-07
1824.391    9.49175e-05    9.38095e-05    1.10803e-06
1829.106    1.39091e-05    1.39895e-05   -8.03934e-08
1833.817    1.47654e-06    1.46925e-06    7.28514e-09
1838.524    2.32227e-07    2.33732e-07   -1.50462e-09
1843.226    7.85525e-07    7.83245e-07    2.28011e-09
1847.924    4.96611e-07    4.97971e-07   -1.36048e-09
1852.617    4.41156e-07    4.38287e-07    2.86896e-09
1857.307    8.30646e-07    8.20162e-07    1.04845e-08
1861.992    3.22358e-06    3.21487e-06    8.71363e-09
1866.673    1.20095e-06    1.18954e-06    1.14140e-08
1871.351    3.61774e-08    3.62510e-08   -7.36329e-11
1876.025    1.08225e-06    1.07634e-06    5.91412e-09
1880.695    9.50237e-06    9.40443e-06    9.79387e-08
1885.361    1.80357e-05    1.80059e-05    2.98231e-08
1890.024    1.33517e-05    1.33219e-05    2.98250e-08
1894.684    6.78177e-06    6.85924e-06   -7.74718e-08
1899.340    1.53833e-06    1.56355e-06   -2.52174e-08
1903.993    1.19251e-06    1.18773e-06    4.77787e-09
1908.643    2.97111e-06    2.90401e-06    6.70951e-08
1913.290    6.11559e-06    6.14382e-06   -2.82264e-08
1917.934    2.39611e-05    2.39461e-05    1.49674e-08
1922.575    5.69707e-05    5.66147e-05    3.55954e-07
1927.213    8.91392e-05    8.82005e-05    9.38726e-07
1931.849    1.73125e-04    1.73316e-04   -1.91247e-07
1936.481    3.15323e-04    3.17862e-04   -2.53928e-06
1941.112    5.03191e-04    5.10747e-04   -7.55639e-06
1945.740    7.47502e-04    7.39722e-04    7.77959e-06
1950.366    1.02522e-03    1.02510e-03    1.18276e-07
1954.989    1.13272e-03    1.12034e-03    1.23790e-05
1959.610    1.44123e-03    1.43240e-03    8.83254e-06
1964.229    2.17811e-03    2.18002e-03   -1.91110e-06
1968.847    3.02027e-03    3.03552e-03   -1.52463e-05
1973.462    3.58224e-03    3.57114e-03    1.10961e-05
1978.076    4.00422e-03    4.08953e-03   -8.53103e-05
1982.688    4.62701e-03    4.58745e-03    3.95585e-05
1987.298    4.89193e-03    4.85279e-03    3.91355e-05
1991.907    5.01866e-03    4.98080e-03    3.78578e-05
