 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 556.110    1.12076e-01    1.11421e-01    6.54522e-04
 556.937    1.11055e-01    1.10332e-01    7.22740e-04
 557.764    1.07840e-01    1.09446e-01   -1.60570e-03
 558.591    1.07906e-01    1.08860e-01   -9.54072e-04
 559.418    1.08364e-01    1.08871e-01   -5.07316e-04
 560.245    1.09828e-01    1.09544e-01    2.84289e-04
 561.072    1.10380e-01    1.10271e-01    1.08533e-04
 561.898    1.11648e-01    1.10512e-01    1.13557e-03
 562.725    1.09187e-01    1.10388e-01   -1.20053e-03
 563.552    1.09823e-01    1.10073e-01   -2.50210e-04
 564.379    1.09701e-01    1.09412e-01    2.89071e-04
 565.206    1.07462e-01    1.08449e-01   -9.87428e-04
 566.033    1.08015e-01    1.07678e-01    3.36908e-04
 566.860    1.07362e-01    1.07390e-01   -2.75468e-05
 567.687    1.07977e-01    1.07196e-01    7.80525e-04
 568.514    1.06401e-01    1.06653e-01   -2.51531e-04
 569.341    1.06952e-01    1.05908e-01    1.04404e-03
 570.168    1.06348e-01    1.05460e-01    8.88238e-04
 570.995    1.05389e-01    1.05667e-01   -2.78080e-04
 571.822    1.07063e-01    1.06447e-01    6.16437e-04
 572.648    1.06300e-01    1.07248e-01   -9.48427e-04
 573.475    1.07525e-01    1.07475e-01    4.95432e-05
 574.302    1.05943e-01    1.07023e-01   -1.08028e-03
 575.129    1.06232e-01    1.06338e-01   -1.06450e-04
 575.956    1.06457e-01    1.05939e-01    5.17815e-04
 576.783    1.05392e-01    1.05902e-01   -5.09949e-04
 577.609    1.05839e-01    1.05971e-01   -1.31771e-04
 578.436    1.06266e-01    1.06088e-01    1.78179e-04
 579.263    1.05810e-01    1.06410e-01   -6.00402e-04
 580.090    1.06560e-01    1.06917e-01   -3.57377e-04
 580.917    1.07006e-01    1.07435e-01   -4.28558e-04
 581.744    1.09549e-01    1.07879e-01    1.66969e-03
 582.570    1.09187e-01    1.08172e-01    1.01506e-03
 583.397    1.06540e-01    1.08126e-01   -1.58582e-03
 584.224    1.07917e-01    1.07587e-01    3.30117e-04
 585.051    1.07076e-01    1.06622e-01    4.53970e-04
 585.877    1.05227e-01    1.05421e-01   -1.94120e-04
 586.704    1.04769e-01    1.03863e-01    9.05590e-04
 587.531    1.00178e-01    1.01512e-01   -1.33449e-03
 588.358    9.90017e-02    9.85604e-02    4.41340e-04
 589.184    9.80946e-02    9.63019e-02    1.79267e-03
 590.011    9.53225e-02    9.58429e-02   -5.20410e-04
 590.838    9.52919e-02    9.68305e-02   -1.53862e-03
 591.665    9.87145e-02    9.81210e-02    5.93476e-04
 592.491    9.97340e-02    9.90547e-02    6.79271e-04
 593.318    1.00502e-01    9.95667e-02    9.35035e-04
 594.145    1.00765e-01    9.98064e-02    9.58791e-04
 594.971    1.00381e-01    1.00047e-01    3.34255e-04
 595.798    1.00553e-01    1.00453e-01    9.97695e-05
 596.625    1.00844e-01    1.00847e-01   -3.37721e-06
 597.451    9.99585e-02    1.01020e-01   -1.06151e-03
 598.278    1.01096e-01    1.01053e-01    4.30529e-05
 599.105    1.02404e-01    1.01124e-01    1.27964e-03
 599.931    1.02177e-01    1.01251e-01    9.25925e-04
 600.758    1.01140e-01    1.01359e-01   -2.18755e-04
 601.585    1.02215e-01    1.01521e-01    6.93515e-04
 602.411    1.02035e-01    1.01944e-01    9.08792e-05
 603.238    1.05005e-01    1.02670e-01    2.33549e-03
 604.065    1.03971e-01    1.03398e-01    5.72934e-04
 604.891    1.03298e-01    1.03741e-01   -4.42567e-04
 605.718    1.03407e-01    1.03600e-01   -1.93080e-04
 606.544    1.04076e-01    1.03149e-01    9.26934e-04
 607.371    1.03504e-01    1.02569e-01    9.35266e-04
 608.198    1.02448e-01    1.01934e-01    5.14380e-04
 609.024    1.00907e-01    1.01306e-01   -3.99264e-04
 609.851    1.00425e-01    1.00786e-01   -3.61156e-04
 610.677    9.87523e-02    1.00357e-01   -1.60470e-03
 611.504    9.80775e-02    9.98109e-02   -1.73343e-03
 612.330    9.91111e-02    9.89952e-02    1.15870e-04
 613.157    9.70338e-02    9.80631e-02   -1.02928e-03
 613.983    9.69991e-02    9.73100e-02   -3.10856e-04
 614.810    9.75329e-02    9.68056e-02    7.27276e-04
 615.636    9.73096e-02    9.64754e-02    8.34234e-04
 616.463    9.54327e-02    9.64743e-02   -1.04157e-03
 617.289    9.65480e-02    9.70056e-02   -4.57573e-04
 618.116    9.92953e-02    9.78906e-02    1.40473e-03
 618.942    1.00809e-01    9.87274e-02    2.08203e-03
 619.769    9.91451e-02    9.92234e-02   -7.82743e-05
 620.595    1.00073e-01    9.91790e-02    8.94490e-04
 621.422    9.74220e-02    9.85525e-02   -1.13053e-03
 622.248    9.70888e-02    9.76342e-02   -5.45422e-04
 623.075    9.45708e-02    9.67827e-02   -2.21190e-03
 623.901    9.68835e-02    9.60715e-02    8.12031e-04
 624.727    9.56725e-02    9.54468e-02    2.25667e-04
 625.554    9.50833e-02    9.49608e-02    1.22482e-04
 626.380    9.51640e-02    9.46502e-02    5.13809e-04
 627.206    9.52734e-02    9.44503e-02    8.23115e-04
 628.033    9.48449e-02    9.43298e-02    5.15092e-04
 628.859    9.54407e-02    9.42847e-02    1.15597e-03
 629.686    9.42637e-02    9.42256e-02    3.81305e-05
 630.512    9.35183e-02    9.40427e-02   -5.24419e-04
 631.338    9.36296e-02    9.38072e-02   -1.77636e-04
 632.164    9.15488e-02    9.37910e-02   -2.24216e-03
 632.991    9.31187e-02    9.40833e-02   -9.64619e-04
 633.817    9.46489e-02    9.43975e-02    2.51353e-04
 634.643    9.52497e-02    9.44955e-02    7.54191e-04
 635.470    9.42586e-02    9.45199e-02   -2.61293e-04
 636.296    9.56706e-02    9.47789e-02    8.91742e-04
 637.122    9.76954e-02    9.52997e-02    2.39572e-03
 637.948    9.51218e-02    9.57082e-02   -5.86404e-04
 638.775    9.59021e-02    9.56571e-02    2.45044e-04
 639.601    9.65056e-02    9.52297e-02    1.27593e-03
 640.427    9.56038e-02    9.47858e-02    8.18045e-04
 641.253    9.25871e-02    9.45505e-02   -1.96342e-03
 642.079    9.18197e-02    9.44854e-02   -2.66567e-03
 642.905    9.39975e-02    9.44073e-02   -4.09794e-04
 643.732    9.37278e-02    9.40871e-02   -3.59324e-04
 644.558    9.27499e-02    9.33434e-02   -5.93542e-04
 645.384    9.29452e-02    9.22073e-02    7.37934e-04
 646.210    8.94204e-02    9.10073e-02   -1.58693e-03
