 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 545.358    1.90000e-01    1.89546e-01    4.53762e-04
 546.185    1.88469e-01    1.88865e-01   -3.95623e-04
 547.012    1.86562e-01    1.87848e-01   -1.28583e-03
 547.839    1.86705e-01    1.86754e-01   -4.91634e-05
 548.666    1.85556e-01    1.86007e-01   -4.50953e-04
 549.493    1.85053e-01    1.85734e-01   -6.81311e-04
 550.320    1.85966e-01    1.85830e-01    1.36046e-04
 551.147    1.85731e-01    1.86245e-01   -5.14153e-04
 551.974    1.87781e-01    1.86788e-01    9.92681e-04
 552.801    1.86768e-01    1.87236e-01   -4.68309e-04
 553.628    1.87131e-01    1.87522e-01   -3.91255e-04
 554.455    1.84627e-01    1.87366e-01   -2.73864e-03
 555.283    1.86813e-01    1.86345e-01    4.68154e-04
 556.110    1.85642e-01    1.84618e-01    1.02359e-03
 556.937    1.84181e-01    1.82851e-01    1.32991e-03
 557.764    1.81767e-01    1.81418e-01    3.49477e-04
 558.591    1.79350e-01    1.80479e-01   -1.12930e-03
 559.418    1.83063e-01    1.80528e-01    2.53494e-03
 560.245    1.80000e-01    1.81674e-01   -1.67381e-03
 561.072    1.82665e-01    1.82915e-01   -2.49933e-04
 561.898    1.85172e-01    1.83358e-01    1.81360e-03
 562.725    1.85618e-01    1.83203e-01    2.41491e-03
 563.552    1.84376e-01    1.82735e-01    1.64083e-03
 564.379    1.81897e-01    1.81692e-01    2.04835e-04
 565.206    1.78880e-01    1.80150e-01   -1.27010e-03
 566.033    1.76959e-01    1.78942e-01   -1.98332e-03
 566.860    1.79378e-01    1.78562e-01    8.16077e-04
 567.687    1.80508e-01    1.78364e-01    2.14412e-03
 568.514    1.76671e-01    1.77591e-01   -9.20054e-04
 569.341    1.76117e-01    1.76455e-01   -3.37523e-04
 570.168    1.71404e-01    1.75766e-01   -4.36190e-03
 570.995    1.77196e-01    1.76141e-01    1.05469e-03
 571.822    1.76671e-01    1.77468e-01   -7.96927e-04
 572.648    1.79498e-01    1.78835e-01    6.62905e-04
 573.475    1.80018e-01    1.79249e-01    7.68903e-04
 574.302    1.77396e-01    1.78535e-01   -1.13881e-03
 575.129    1.81732e-01    1.77430e-01    4.30157e-03
 575.956    1.79807e-01    1.76794e-01    3.01336e-03
 576.783    1.78651e-01    1.76746e-01    1.90502e-03
 577.609    1.78856e-01    1.76861e-01    1.99514e-03
 578.436    1.77172e-01    1.77048e-01    1.23604e-04
 579.263    1.77346e-01    1.77574e-01   -2.27939e-04
 580.090    1.78518e-01    1.78416e-01    1.02473e-04
 580.917    1.77541e-01    1.79291e-01   -1.74966e-03
 581.744    1.80123e-01    1.80059e-01    6.42553e-05
 582.570    1.78643e-01    1.80585e-01   -1.94193e-03
 583.397    1.80856e-01    1.80555e-01    3.01066e-04
 584.224    1.75420e-01    1.79713e-01   -4.29301e-03
 585.051    1.78570e-01    1.78176e-01    3.93757e-04
 585.877    1.78483e-01    1.76274e-01    2.20856e-03
 586.704    1.75046e-01    1.73825e-01    1.22091e-03
 587.531    1.67026e-01    1.70095e-01   -3.06895e-03
 588.358    1.65017e-01    1.65371e-01   -3.54168e-04
 589.184    1.61799e-01    1.61758e-01    4.14405e-05
 590.011    1.62836e-01    1.61078e-01    1.75791e-03
 590.838    1.61557e-01    1.62756e-01   -1.19926e-03
 591.665    1.68127e-01    1.64909e-01    3.21812e-03
 592.491    1.66070e-01    1.66457e-01   -3.86602e-04
 593.318    1.66270e-01    1.67307e-01   -1.03697e-03
 594.145    1.68948e-01    1.67716e-01    1.23242e-03
 594.971    1.66676e-01    1.68127e-01   -1.45095e-03
 595.798    1.69125e-01    1.68795e-01    3.30221e-04
 596.625    1.71670e-01    1.69427e-01    2.24333e-03
 597.451    1.69825e-01    1.69677e-01    1.47884e-04
 598.278    1.70130e-01    1.69676e-01    4.54012e-04
 599.105    1.71034e-01    1.69728e-01    1.30627e-03
 599.931    1.71722e-01    1.69867e-01    1.85462e-03
 600.758    1.68538e-01    1.69987e-01   -1.44918e-03
 601.585    1.70821e-01    1.70215e-01    6.06040e-04
 602.411    1.70127e-01    1.70894e-01   -7.67037e-04
 603.238    1.69179e-01    1.72090e-01   -2.91094e-03
 604.065    1.71636e-01    1.73298e-01   -1.66163e-03
 604.891    1.73389e-01    1.73876e-01   -4.86603e-04
 605.718    1.71281e-01    1.73650e-01   -2.36881e-03
 606.544    1.70490e-01    1.72913e-01   -2.42270e-03
 607.371    1.73711e-01    1.71968e-01    1.74257e-03
 608.198    1.72759e-01    1.70932e-01    1.82692e-03
 609.024    1.67796e-01    1.69906e-01   -2.10952e-03
 609.851    1.70055e-01    1.69058e-01    9.97353e-04
 610.677    1.67667e-01    1.68355e-01   -6.88391e-04
 611.504    1.70162e-01    1.67451e-01    2.71113e-03
 612.330    1.65922e-01    1.66094e-01   -1.71934e-04
 613.157    1.62525e-01    1.64542e-01   -2.01738e-03
 613.983    1.64335e-01    1.63292e-01    1.04267e-03
 614.810    1.62231e-01    1.62458e-01   -2.27030e-04
 615.636    1.57604e-01    1.61914e-01   -4.30957e-03
 616.463    1.62262e-01    1.61923e-01    3.38560e-04
 617.289    1.59904e-01    1.62828e-01   -2.92419e-03
 618.116    1.66979e-01    1.64330e-01    2.64940e-03
 618.942    1.66111e-01    1.65753e-01    3.57789e-04
 619.769    1.68233e-01    1.66604e-01    1.62906e-03
 620.595    1.66084e-01    1.66551e-01   -4.67292e-04
 621.422    1.67882e-01    1.65524e-01    2.35833e-03
 622.248    1.63918e-01    1.64006e-01   -8.83923e-05
 623.075    1.63069e-01    1.62592e-01    4.76687e-04
 623.901    1.61893e-01    1.61407e-01    4.86284e-04
 624.727    1.57986e-01    1.60376e-01   -2.39045e-03
 625.554    1.57190e-01    1.59605e-01   -2.41475e-03
 626.380    1.56017e-01    1.59160e-01   -3.14305e-03
 627.206    1.59844e-01    1.58914e-01    9.29897e-04
 628.033    1.57283e-01    1.58782e-01   -1.49871e-03
 628.859    1.62073e-01    1.58733e-01    3.33963e-03
 629.686    1.56434e-01    1.58623e-01   -2.18870e-03
 630.512    1.58161e-01    1.58296e-01   -1.35099e-04
 631.338    1.56311e-01    1.57886e-01   -1.57450e-03
 632.164    1.59963e-01    1.57847e-01    2.11578e-03
 632.991    1.59221e-01    1.58317e-01    9.03823e-04
 633.817    1.57567e-01    1.58815e-01   -1.24822e-03
 634.643    1.62919e-01    1.58946e-01    3.97333e-03
 635.470    1.58634e-01    1.58957e-01   -3.23025e-04
 636.296    1.59237e-01    1.59370e-01   -1.33183e-04
 637.122    1.59351e-01    1.60231e-01   -8.79872e-04
 637.948    1.62087e-01    1.60911e-01    1.17605e-03
 638.775    1.59387e-01    1.60818e-01   -1.43075e-03
 639.601    1.62595e-01    1.60085e-01    2.51023e-03
 640.427    1.57717e-01    1.59324e-01   -1.60729e-03
 641.253    1.59273e-01    1.58923e-01    3.49581e-04
 642.079    1.62044e-01    1.58826e-01    3.21833e-03
 642.905    1.53586e-01    1.58725e-01   -5.13917e-03
 643.732    1.59700e-01    1.58238e-01    1.46200e-03
 644.558    1.57019e-01    1.57069e-01   -4.96051e-05
 645.384    1.51741e-01    1.55277e-01   -3.53625e-03
 646.210    1.52506e-01    1.53397e-01   -8.91030e-04
 647.036    1.52957e-01    1.52036e-01    9.20845e-04
 647.862    1.51925e-01    1.51321e-01    6.04151e-04
 648.688    1.49553e-01    1.50986e-01   -1.43341e-03
 649.514    1.52523e-01    1.50946e-01    1.57672e-03
 650.340    1.51007e-01    1.51407e-01   -3.99941e-04
 651.166    1.53486e-01    1.52300e-01    1.18629e-03
 651.992    1.51953e-01    1.53110e-01   -1.15699e-03
 652.818    1.53422e-01    1.53133e-01    2.88521e-04
 653.644    1.51646e-01    1.51529e-01    1.17418e-04
 654.470    1.47486e-01    1.47852e-01   -3.66276e-04
 655.296    1.43159e-01    1.43233e-01   -7.39305e-05
 656.122    1.39912e-01    1.40397e-01   -4.84697e-04
 656.948    1.41986e-01    1.41343e-01    6.43281e-04
 657.774    1.44479e-01    1.45249e-01   -7.70388e-04
 658.599    1.49883e-01    1.49573e-01    3.09654e-04
 659.425    1.52856e-01    1.52693e-01    1.62736e-04
 660.251    1.54732e-01    1.54600e-01    1.32320e-04
 661.077    1.55635e-01    1.55759e-01   -1.23764e-04
 661.903    1.56931e-01    1.56299e-01    6.31583e-04
 662.728    1.57168e-01    1.56204e-01    9.63958e-04
 663.554    1.55721e-01    1.55742e-01   -2.11535e-05
 664.380    1.54667e-01    1.55359e-01   -6.91529e-04
 665.206    1.55478e-01    1.55228e-01    2.50152e-04
 666.031    1.55421e-01    1.55182e-01    2.39309e-04
 666.857    1.54887e-01    1.55124e-01   -2.37450e-04
 667.683    1.55542e-01    1.55166e-01    3.76382e-04
 668.508    1.55103e-01    1.55281e-01   -1.77779e-04
 669.334    1.55258e-01    1.55190e-01    6.82334e-05
 670.159    1.54893e-01    1.54747e-01    1.45689e-04
 670.985    1.53913e-01    1.54175e-01   -2.61812e-04
 671.811    1.53644e-01    1.53792e-01   -1.48255e-04
 672.636    1.53683e-01    1.53667e-01    1.58765e-05
 673.462    1.53412e-01    1.53625e-01   -2.12786e-04
 674.287    1.53570e-01    1.53525e-01    4.49037e-05
 675.113    1.53120e-01    1.53397e-01   -2.76740e-04
 675.938    1.53010e-01    1.53287e-01   -2.76579e-04
 676.763    1.53622e-01    1.53155e-01    4.66754e-04
 677.589    1.52995e-01    1.52928e-01    6.71612e-05
 678.414    1.52664e-01    1.52523e-01    1.41266e-04
 679.239    1.51963e-01    1.51946e-01    1.67951e-05
 680.065    1.51684e-01    1.51366e-01    3.17858e-04
 680.890    1.51072e-01    1.50943e-01    1.28981e-04
 681.715    1.50204e-01    1.50654e-01   -4.49719e-04
 682.541    1.50153e-01    1.50306e-01   -1.52582e-04
 683.366    1.49522e-01    1.49618e-01   -9.60299e-05
 684.191    1.48175e-01    1.48168e-01    7.21473e-06
 685.016    1.45327e-01    1.45375e-01   -4.81188e-05
 685.841    1.41318e-01    1.41105e-01    2.13185e-04
 686.666    1.36277e-01    1.36441e-01   -1.63542e-04
 687.491    1.33375e-01    1.33100e-01    2.75205e-04
 688.316    1.31674e-01    1.31909e-01   -2.34838e-04
 689.141    1.32376e-01    1.32440e-01   -6.36209e-05
 689.966    1.34113e-01    1.33818e-01    2.94506e-04
 690.791    1.35118e-01    1.35185e-01   -6.68273e-05
 691.616    1.36237e-01    1.35841e-01    3.95610e-04
 692.441    1.35171e-01    1.35555e-01   -3.83613e-04
 693.266    1.34195e-01    1.34733e-01   -5.37721e-04
 694.091    1.34342e-01    1.34148e-01    1.93847e-04
 694.916    1.34483e-01    1.34432e-01    5.06916e-05
 695.741    1.35290e-01    1.35609e-01   -3.19123e-04
 696.565    1.37750e-01    1.36938e-01    8.12069e-04
 697.390    1.37241e-01    1.37424e-01   -1.82717e-04
 698.215    1.36929e-01    1.36682e-01    2.46979e-04
 699.039    1.35330e-01    1.35141e-01    1.88837e-04
 699.864    1.33285e-01    1.33477e-01   -1.92164e-04
 700.689    1.32152e-01    1.32295e-01   -1.43124e-04
 701.513    1.31815e-01    1.32106e-01   -2.91029e-04
 702.338    1.33105e-01    1.32993e-01    1.12137e-04
 703.162    1.34355e-01    1.34333e-01    2.21153e-05
 703.987    1.35053e-01    1.35280e-01   -2.27448e-04
 704.811    1.35696e-01    1.35500e-01    1.96500e-04
 705.635    1.35256e-01    1.35297e-01   -4.05871e-05
 706.460    1.34906e-01    1.35167e-01   -2.60842e-04
 707.284    1.35415e-01    1.35329e-01    8.64032e-05
 708.108    1.35588e-01    1.35599e-01   -1.10723e-05
 708.933    1.35789e-01    1.35750e-01    3.92428e-05
 709.757    1.35983e-01    1.35790e-01    1.93133e-04
 710.581    1.36202e-01    1.35767e-01    4.35037e-04
 711.405    1.35536e-01    1.35592e-01   -5.60414e-05
 712.229    1.34425e-01    1.35161e-01   -7.35840e-04
 713.053    1.34535e-01    1.34381e-01    1.54268e-04
 713.877    1.32916e-01    1.33027e-01   -1.10556e-04
 714.701    1.31357e-01    1.30737e-01    6.20358e-04
 715.525    1.27378e-01    1.27125e-01    2.53001e-04
 716.349    1.22439e-01    1.22081e-01    3.58358e-04
 717.173    1.16304e-01    1.16271e-01    3.26744e-05
 717.997    1.11347e-01    1.11135e-01    2.12463e-04
 718.820    1.08243e-01    1.08176e-01    6.73103e-05
 719.644    1.07729e-01    1.08316e-01   -5.86994e-04
 720.468    1.10935e-01    1.11300e-01   -3.64785e-04
 721.291    1.15243e-01    1.15291e-01   -4.79619e-05
 722.115    1.18026e-01    1.17848e-01    1.77532e-04
 722.939    1.17997e-01    1.17812e-01    1.84583e-04
 723.762    1.15999e-01    1.15999e-01   -2.45101e-07
 724.586    1.14394e-01    1.14046e-01    3.48326e-04
 725.409    1.13163e-01    1.12914e-01    2.49460e-04
 726.232    1.12265e-01    1.12513e-01   -2.48275e-04
 727.056    1.12206e-01    1.12292e-01   -8.64550e-05
 727.879    1.12129e-01    1.11981e-01    1.48010e-04
 728.702    1.11675e-01    1.11816e-01   -1.40660e-04
 729.525    1.11627e-01    1.12176e-01   -5.49451e-04
 730.348    1.12914e-01    1.13321e-01   -4.06549e-04
 731.171    1.15135e-01    1.15434e-01   -2.98684e-04
 731.994    1.18448e-01    1.18415e-01    3.34687e-05
 732.817    1.21468e-01    1.21615e-01   -1.46759e-04
 733.640    1.24314e-01    1.24085e-01    2.28649e-04
 734.463    1.25126e-01    1.25220e-01   -9.37006e-05
 735.286    1.25328e-01    1.25242e-01    8.59708e-05
 736.109    1.25121e-01    1.24973e-01    1.48287e-04
 736.932    1.25343e-01    1.24992e-01    3.51058e-04
 737.754    1.25398e-01    1.25233e-01    1.65280e-04
 738.577    1.25692e-01    1.25472e-01    2.19743e-04
 739.399    1.25591e-01    1.25743e-01   -1.52493e-04
 740.222    1.26424e-01    1.26135e-01    2.88787e-04
 741.044    1.25825e-01    1.26670e-01   -8.44777e-04
 741.867    1.27207e-01    1.27452e-01   -2.44824e-04
 742.689    1.28884e-01    1.28494e-01    3.90238e-04
 743.511    1.30622e-01    1.29484e-01    1.13761e-03
 744.334    1.30111e-01    1.30112e-01   -8.56220e-07
 745.156    1.30198e-01    1.30488e-01   -2.90486e-04
 745.978    1.31369e-01    1.30850e-01    5.18810e-04
 746.800    1.31426e-01    1.31125e-01    3.01222e-04
 747.622    1.30395e-01    1.31068e-01   -6.72546e-04
 748.444    1.29881e-01    1.30643e-01   -7.62058e-04
 749.266    1.29845e-01    1.30052e-01   -2.06914e-04
 750.088    1.29710e-01    1.29579e-01    1.31226e-04
 750.909    1.29622e-01    1.29433e-01    1.89253e-04
 751.731    1.29349e-01    1.29611e-01   -2.61807e-04
 752.553    1.29768e-01    1.29935e-01   -1.66963e-04
 753.374    1.30344e-01    1.30198e-01    1.45864e-04
 754.196    1.30221e-01    1.30216e-01    5.03968e-06
 755.017    1.28956e-01    1.29856e-01   -8.99675e-04
 755.839    1.28860e-01    1.29010e-01   -1.49806e-04
 756.660    1.27927e-01    1.27003e-01    9.24079e-04
 757.481    1.21811e-01    1.21765e-01    4.64438e-05
 758.302    1.10604e-01    1.10524e-01    7.95682e-05
 759.123    9.33366e-02    9.31929e-02    1.43715e-04
 759.945    7.54297e-02    7.52172e-02    2.12471e-04
 760.765    6.40560e-02    6.41159e-02   -5.99024e-05
 761.586    6.23269e-02    6.22801e-02    4.68480e-05
 762.407    6.62043e-02    6.59895e-02    2.14801e-04
 763.228    7.16108e-02    7.13610e-02    2.49770e-04
 764.049    7.80159e-02    7.77537e-02    2.62191e-04
 764.869    8.56803e-02    8.56280e-02    5.23084e-05
 765.690    9.40768e-02    9.44102e-02   -3.33411e-04
 766.510    1.02954e-01    1.02937e-01    1.72841e-05
 767.331    1.09987e-01    1.10304e-01   -3.16758e-04
 768.151    1.15675e-01    1.15991e-01   -3.16373e-04
 768.971    1.19464e-01    1.19829e-01   -3.65089e-04
 769.792    1.22352e-01    1.22079e-01    2.73115e-04
 770.612    1.23851e-01    1.23233e-01    6.17829e-04
 771.432    1.23972e-01    1.23734e-01    2.37997e-04
 772.252    1.23377e-01    1.23865e-01   -4.87609e-04
 773.072    1.23807e-01    1.23773e-01    3.38667e-05
 773.892    1.23983e-01    1.23561e-01    4.21828e-04
 774.711    1.22907e-01    1.23433e-01   -5.25649e-04
 775.531    1.24195e-01    1.23584e-01    6.10580e-04
 776.351    1.24056e-01    1.23900e-01    1.55966e-04
 777.170    1.24270e-01    1.24072e-01    1.98310e-04
 777.989    1.23430e-01    1.23976e-01   -5.46349e-04
 778.809    1.24057e-01    1.23692e-01    3.64664e-04
 779.628    1.23838e-01    1.23348e-01    4.90091e-04
 780.447    1.22850e-01    1.23051e-01   -2.00756e-04
 781.266    1.23119e-01    1.22803e-01    3.15663e-04
 782.085    1.23023e-01    1.22490e-01    5.33028e-04
 782.904    1.21966e-01    1.22058e-01   -9.17976e-05
 783.723    1.21848e-01    1.21561e-01    2.86864e-04
 784.542    1.20752e-01    1.20994e-01   -2.42042e-04
 785.361    1.19329e-01    1.20282e-01   -9.53118e-04
 786.179    1.19326e-01    1.19411e-01   -8.53276e-05
 786.998    1.17958e-01    1.18405e-01   -4.47268e-04
 787.816    1.18291e-01    1.17277e-01    1.01394e-03
 788.634    1.16604e-01    1.16104e-01    5.00079e-04
 789.453    1.13996e-01    1.15036e-01   -1.04029e-03
 790.271    1.13619e-01    1.14182e-01   -5.63235e-04
 791.089    1.12928e-01    1.13571e-01   -6.43372e-04
 791.907    1.12964e-01    1.13205e-01   -2.40699e-04
 792.725    1.12840e-01    1.13039e-01   -1.99043e-04
 793.542    1.12365e-01    1.12905e-01   -5.40419e-04
